title, text, link_img_big, link_img_small, title_col
"Сильнее снегопада", "Большой выбор снегоуборочных машин. Качественные устройства для любого бюджета", /img/webp/page_main/slader/3-1.webp, /img/webp/page_main/slader/sla2-min-1.webp, "text-black-300"
"Электро-Бензо инструмент", "Большой выбор и хорошие цены", /img/webp/page_main/slader/1-1.webp, /img/webp/page_main/slader/sla1-min-1.webp,"text-white"
"FUBAG ГЕНЕРАТОРЫ", "FUBAG предлагает широкий набор опций для увеличения функциональности и мобильности генераторов", /img/webp/page_main/slader/2-1.webp, /img/webp/page_main/slader/sla2-min-1.webp, "text-black-300"
